operation,datastructure,listSize,seed,iteration,runcount,totaltime,avgtime
EN,linkedlist,10000,1,0,5,5.9469425,1.1893885
EN,linkedlist,10000,1,1,5,5.9046947,1.18093894
EN,linkedlist,10000,1,2,5,5.9338708,1.1867741600000001
EN,linkedlist,10000,1,3,5,5.8268963,1.16537926
EN,linkedlist,10000,1,4,5,5.8300932,1.16601864
EN,linkedlist,10000,1,5,5,5.8423727,1.16847454
EN,linkedlist,10000,1,6,5,5.9162894,1.18325788
EN,linkedlist,10000,1,7,5,5.8300260999999995,1.16600522
EN,linkedlist,10000,1,8,5,5.9063605,1.1812721
EN,linkedlist,10000,1,9,5,6.003776800000001,1.20075536
EN,tree,1000,333,0,5,0.6089011,0.12178022
EN,tree,1000,333,1,5,0.5835748,0.11671495999999999
EN,tree,1000,333,2,5,0.5603448,0.11206896
EN,tree,1000,333,3,5,0.5707962,0.11415924
EN,tree,1000,333,4,5,0.5817776,0.11635552
EN,tree,1000,333,5,5,0.5742332,0.11484664
EN,tree,1000,333,6,5,0.6051995000000001,0.12103990000000002
EN,tree,1000,333,7,5,0.6016009,0.12032018
EN,tree,1000,333,8,5,0.5681846,0.11363692
EN,tree,1000,333,9,5,0.6009549,0.12019097999999999
EN,tree,1000,333,10,5,0.5736612,0.11473224
EN,tree,1000,333,11,5,0.5795741999999999,0.11591483999999999
EN,tree,1000,333,12,5,0.5771127,0.11542254
EN,tree,1000,333,13,5,0.5803336,0.11606672
EN,tree,1000,333,14,5,0.5827306999999999,0.11654613999999999
EN,tree,1000,333,15,5,0.5952718,0.11905436
EN,tree,1000,333,16,5,0.5825192000000001,0.11650384000000003
EN,tree,1000,333,17,5,0.5840316,0.11680631999999999
EN,tree,1000,333,18,5,0.6156277,0.12312554
EN,tree,1000,333,19,5,0.5976268,0.11952536
EN,tree,1000,333,20,5,0.5749160999999999,0.11498321999999998
EN,tree,1000,333,21,5,0.5850822,0.11701644
EN,tree,1000,333,22,5,0.5823614,0.11647228000000001
EN,tree,1000,333,23,5,0.5840119,0.11680238000000001
EN,tree,1000,333,24,5,0.5731382,0.11462764
EN,tree,1000,333,25,5,0.576434,0.1152868
EN,tree,1000,333,26,5,0.5953219,0.11906438
EN,tree,1000,333,27,5,0.5860589,0.11721178000000002
EN,tree,1000,333,28,5,0.5777067,0.11554134
EN,tree,1000,333,29,5,0.5844557,0.11689114
EN,tree,1000,333,30,5,0.5759117,0.11518234000000001
EN,tree,1000,333,31,5,0.5832689,0.11665378
EN,tree,1000,333,32,5,0.5996172000000001,0.11992344000000002
EN,tree,1000,333,33,5,0.586392,0.1172784
EN,tree,1000,333,34,5,0.5738926,0.11477852
EN,tree,1000,333,35,5,0.5899013000000001,0.11798026000000002
EN,tree,1000,333,36,5,0.5773513,0.11547026
EN,tree,1000,333,37,5,0.5868104000000001,0.11736208000000001
EN,tree,1000,333,38,5,0.5854402,0.11708803999999999
EN,tree,1000,333,39,5,0.5701625,0.11403250000000001
EN,tree,1000,333,40,5,0.5758966999999999,0.11517933999999999
EN,tree,1000,333,41,5,0.5791991000000001,0.11583982000000001
EN,tree,1000,333,42,5,0.5834019,0.11668038
EN,tree,1000,333,43,5,0.5798333,0.11596666
EN,tree,1000,333,44,5,0.5830645999999999,0.11661291999999998
EN,tree,1000,333,45,5,0.594303,0.11886060000000001
EN,tree,1000,333,46,5,0.5852572,0.11705144
EN,tree,1000,333,47,5,0.5883558,0.11767116
EN,tree,1000,333,48,5,0.6094613,0.12189226
EN,tree,1000,333,49,5,0.5906146999999999,0.11812293999999998
EN,array,50,69,0,5,0.5915414,0.11830828
EN,array,50,69,1,5,0.5235538,0.10471075999999999
EN,array,50,69,2,5,0.5280152,0.10560304000000001
EN,array,50,69,3,5,0.5225099,0.10450198
EN,array,50,69,4,5,0.5492412,0.10984824
EN,array,50,69,5,5,0.5279549,0.10559098
EN,array,50,69,6,5,0.5162579,0.10325158000000001
EN,array,50,69,7,5,0.5363462999999999,0.10726925999999999
EN,array,50,69,8,5,0.5374833,0.10749666
EN,array,50,69,9,5,0.5233832,0.10467664000000002
EN,array,50,69,10,5,0.525001,0.10500020000000002
EN,array,50,69,11,5,0.522402,0.1044804
EN,array,50,69,12,5,0.5232102999999999,0.10464205999999998
EN,array,50,69,13,5,0.5158564,0.10317128
EN,array,50,69,14,5,0.5307009,0.10614018
EN,array,50,69,15,5,0.5146988,0.10293976
EN,array,50,69,16,5,0.5247246999999999,0.10494493999999999
EN,array,50,69,17,5,0.5108659,0.10217318
EN,array,50,69,18,5,0.5034968,0.10069935999999999
EN,array,50,69,19,5,0.5076552,0.10153103999999999
EN,array,50,69,20,5,0.5006534,0.10013068
EN,array,50,69,21,5,0.5099587,0.10199174
EN,array,50,69,22,5,0.5097197,0.10194394
EN,array,50,69,23,5,0.5301874999999999,0.10603749999999998
EN,array,50,69,24,5,0.5130184,0.10260368
EN,array,50,69,25,5,0.5024986,0.10049972
EN,array,50,69,26,5,0.49659400000000004,0.09931880000000001
EN,array,50,69,27,5,0.5129075000000001,0.10258150000000002
EN,array,50,69,28,5,0.5172358,0.10344716000000001
EN,array,50,69,29,5,0.5163594,0.10327188000000001
EN,array,50,69,30,5,0.5137369,0.10274738000000001
EN,array,50,69,31,5,0.5081402,0.10162804
EN,array,50,69,32,5,0.5090331,0.10180662
EN,array,50,69,33,5,0.5081912,0.10163823999999999
EN,array,50,69,34,5,0.515962,0.1031924
EN,array,50,69,35,5,0.5237839,0.10475678
EN,array,50,69,36,5,0.5258347000000001,0.10516694000000001
EN,array,50,69,37,5,0.5149173,0.10298346
EN,array,50,69,38,5,0.4999279,0.09998557999999999
EN,array,50,69,39,5,0.5186686,0.10373372
EN,array,50,69,40,5,0.5098571,0.10197142
EN,array,50,69,41,5,0.49901799999999996,0.09980359999999999
EN,array,50,69,42,5,0.5153945,0.1030789
EN,array,50,69,43,5,0.5026114,0.10052228
EN,array,50,69,44,5,0.5114974,0.10229948
EN,array,50,69,45,5,0.49823649999999997,0.0996473
EN,array,50,69,46,5,0.5074651,0.10149302
